Type,Pokemon



Bug,Caterpie+Metapod+Butterfree+Weedle+Kakuna+Beedrill+Paras+Parasect+Venonat+Venomoth+Scyther+Pinsir

Dark, 

Dragon,Dratini+Dragonair+Dragonite

Electric,Pikachu+Raichu+Magnemite+Magneton+Voltorb+Electrode+Electabuzz+Jolteon+Zapdos

Fairy,Clefairy+Clefable+Jigglypuff+Wigglytuff+Mr. Mime+

Fighting,Mankey+Primeape+Poliwrath+Machop+Machoke+Machamp+Hitmonlee+Hitmonchan

Fire,Charmander+Charmeleon+Charizard+Vulpix+Ninetails+Growlithe+Arcanine+Ponyta+Rapidash+Magmar+Flareon+Moltres

Flying,Charizard+Butterfree+Pidgey+Pidgeotto+Pidgeot+Spearow+Fearow+Zubat+Golbat+Farfetch'd+Doduo+Dodrio+Scyther+Gyarados+Aerodactyl+Articuno+Zapdos+Moltres+Dragonite

Ghost,Gastly+Haunter+Gengar

Grass,Bulbasaur+Ivysaur+Venusaur+Oddish+Gloom+Vileplume+Paras+Parasect+Bellsprout+Weepinbell+Victreebel+Exeggcute+Exeggutor+Tangela

Ground,Sandshrew+Sandslash+Nidoqueen+Nidoking+Diglett+Dugtrio+Geodude+Graveler+Golem+Onix+Cubone+Marowak+Rhyhorn+Rhydon

Ice,Dewgong+Cloyster+Jynx+Lapras+Articuno

Normal,Pidgey+Pidgeotto+Pidgeot+Rattata+Raticate+Spearow+Fearow+Jigglypuff+Wigglypuff+Meowth+Persian+Farfetch'd+Doduo+Dodrio+Lickitung+Chansey+Kangaskhan+Tauros+Ditto+Eevee+Porygon+Snorlax

Poison,Bulbasaur+Ivysaur+Venusaur+Weedle+Kakuna+Beedrill+Ekans+Arbok+Nidoran(f)+Nidorina+Nidoqueen+Nidoran(m)+Nidorino+Nidoking+Zubat+Golbat+Oddish+Gloom+Vileplume+Venonat+Venomoth+Bellsprout+Weepinbell+Victreebel+Tentacool+Tentacruel+Grimer+Muk+Gastly+Haunter+Gengar+Koffing+Weezing

Psychic,Abra+Kadabra+Alakazam+Slowpoke+Slowbro+Drowzee+Hypno+Exeggcute+Exeggutor+Starmie+Mr. Mime+Jynx+Mewtwo+Mew

Rock,Geodude+Graveler+Golem+Onix+Rhyhorn+Rhydon+Omanyte+Omastar+Kabuto+Kabutops+Aerodactyl

Steel,Magnemite+Magneton

Water,Squirtle+Wartortle+Blastoise+Psyduck+Golduck+Poliwag+Poliwhirl+Poliwrath+Tentacool+Tentacruel+Slowpoke+Slowbro+Seel+Dewgong+Shellder+Cloyster+Krabby+Kingler+Horsea+Seadra+Goldeen+Seaking+Staryu+Starmie+Magikarp+Gyarados+Lapras+Vaporeon+Omanyte+Omastar+Kabuto+Kabutops

